date_dt,province,confirmed,deaths,recovered,Lat,Long,size
241,2020-01-25,"Hillsborough, FL",0,0,0,27.9904,-82.3018,0.0
242,2020-01-25,Hong Kong,5,0,0,22.3,114.2,2.23606797749979
243,2020-01-25,Hubei,761,40,32,30.9756,112.2707,27.586228448267445
244,2020-01-25,"Humboldt County, CA",0,0,0,40.745,-123.8695,0.0
245,2020-01-25,Hunan,43,0,0,27.6104,111.7088,6.557438524302
246,2020-01-25,Inner Mongolia,7,0,0,44.0935,113.9448,2.6457513110645907
247,2020-01-25,Jiangsu,18,0,1,32.9711,119.455,4.242640687119285
248,2020-01-25,Jiangxi,18,0,0,27.614,115.7221,4.242640687119285
249,2020-01-25,Jilin,4,0,0,43.6661,126.1923,2.0
250,2020-01-25,"King County, WA",1,0,0,47.6062,-122.3321,1.0
251,2020-01-25,"Lackland, TX (From Diamond Princess)",0,0,0,29.3829,-98.6134,0.0
252,2020-01-25,Liaoning,17,0,0,41.2956,122.6085,4.123105625617661
253,2020-01-25,"London, ON",0,0,0,42.9849,-81.2453,0.0
254,2020-01-25,"Los Angeles, CA",0,0,0,34.0522,-118.2437,0.0
255,2020-01-25,Macau,2,0,0,22.1667,113.55,1.4142135623730951
256,2020-01-25,"Madison, WI",0,0,0,43.0731,-89.4012,0.0
257,2020-01-25,New South Wales,0,0,0,-33.8688,151.2093,0.0
258,2020-01-25,"New York City, NY",0,0,0,40.7128,-74.006,0.0
259,2020-01-25,Ningxia,3,0,0,37.2692,106.1655,1.7320508075688772
260,2020-01-25,"Omaha, NE (From Diamond Princess)",0,0,0,41.2545,-95.9758,0.0
261,2020-01-25,"Orange, CA",0,0,0,33.7879,-117.8531,0.0
262,2020-01-25,"Placer County, CA",0,0,0,39.0916,-120.8039,0.0
263,2020-01-25,"Portland, OR",0,0,0,45.5051,-122.675,0.0
264,2020-01-25,"Providence, RI",0,0,0,41.824,-71.4128,0.0
265,2020-01-25,Qinghai,1,0,0,35.7452,95.9956,1.0
266,2020-01-25,Queensland,0,0,0,-28.0167,153.4,0.0
267,2020-01-25,"Sacramento County, CA",0,0,0,38.4747,-121.3542,0.0
268,2020-01-25,"San Antonio, TX",0,0,0,29.4241,-98.4936,0.0
269,2020-01-25,"San Benito, CA",0,0,0,36.5761,-120.9876,0.0
270,2020-01-25,"San Diego County, CA",0,0,0,32.7157,-117.1611,0.0
271,2020-01-25,"San Mateo, CA",0,0,0,37.563,-122.3255,0.0
272,2020-01-25,"Santa Clara, CA",0,0,0,37.3541,-121.9552,0.0
273,2020-01-25,"Sarasota, FL",0,0,0,27.3364,-82.5307,0.0
274,2020-01-25,Shaanxi,15,0,0,35.1917,108.8701,3.872983346207417
275,2020-01-25,Shandong,27,0,0,36.3427,118.1498,5.196152422706632
276,2020-01-25,Shanghai,33,0,1,31.201999999999998,121.4491,5.744562646538029
277,2020-01-25,Shanxi,6,0,0,37.5777,112.2922,2.449489742783178
278,2020-01-25,Sichuan,28,0,0,30.6171,102.7103,5.291502622129181
279,2020-01-25,"Snohomish County, WA",0,0,0,48.033,-121.8339,0.0
280,2020-01-25,"Sonoma County, CA",0,0,0,38.578,-122.9888,0.0
281,2020-01-25,South Australia,0,0,0,-34.9285,138.6007,0.0
